review_page,review_title,review_content,review_star,reviewer_location,review_date,crawled_date
124,Extremely well done,"The guided tour of the bunker was a fascinating insight into Singapore during WW2. Our guide, Chin Than, was excellent and brought the museum to life. Some good quality merchandise in the reception too. A 'must' do in Singapore.",50,"Singapore, Singapore",Feb 2019,20200310
124,Travelling in a time capsule,"Our trip to Battlebox, a military museum in Singapore was enriching and unforgettable. Unlike other museums, Battlebox is an authentic WWII underground command centre in Singapore. It showcased a variety of exhibits in bunkers and relevant old videos were shared of what happened to Singapore under British ruling then. We learnt about the strategies used by the British commanders before Singapore was surrendered to the Japanese. Our tour guide, Esther was knowledgeable and we had a better understanding of what had happened to Singapore during WWII after the tour. However, it would be better if we could be given more time to look at the exhibits especially the prints on the photos displayed on the walls. The tour is only an hour and fifteen minutes which is definitely insufficient for one to explore further and take a closer look at the artefacts and displays in order to have a deeper understanding of the happenings. Moving forward, the management could consider allowing visitors and tourists to take pics at selected sections in the bunkers as they could be kept as fond memories.",40,"Singapore, Singapore",Feb 2019,20200310
125,Awesome tour!,"Can highly recommend taking the Battle Box tour - very interesting historical facts about Singapore during WW2 and the events leading up to its surrender. Matt, who was our tour leader, talked with such an enthusiasm, making it a very pleasant visit.",50,"Tiong Bahru, Singapore",Feb 2019,20200310
125,Battlebox,Well this is fantastic! One of the best audio tours I've doneSuperb and we'll worth combining with wandering around fort canning,50,"Manchester, United Kingdom",Feb 2019,20200310
125,Incredible experience,"We were really impressed by this wonderful experience. The tour guide was great, knowledgable and friendly. Would definitely recommend this.",50,"Kuala Lumpur, Malaysia",Feb 2019,20200310
125,Good historical museum,"The Battlebox provides a first hand glimpse of an important point in Singapore’s history, during WWII. Definitely worth a visit, for anyone interested in that period.",40,,Feb 2019,20200310
125,Hidden gem!,"We found this place quite by accident as we were staying across the road from Fort Canning Park. Googling the park to see how to walk round it, we found the Battlebox so decided to go and have a look. It's $20 per adult and the tour is 1 1/4 hours long. Our guide Joanne was very knowledgeable and informative. What a great place to visit, without giving too much away, it's a large underground bunker that was very integral to Singapore's history during World War ll. There are a few set tours per day, so you do need to plan ahead! Once the tour is completed, have a walk round the park as well, there are some great views of the city 😊😊. All in all, we spent a good few hours here away from the hustle and bustle of the city",50,"Perth, Australia",Feb 2019,20200310
126,Perfect introduction to Singapore's WW2 history,"One of the most historic sites in Singapore, this fascinating underground complex gives a marvellous introduction and summary of Singapore's WW2 story. Well worth a visit. Our guide Irdianty was very informative and friendly on the 1:30 tour of 6th February. It's a labour of love well worth supporting.",50,Hull Premier League,Feb 2019,20200310
126,So interesting!,We hadn't planned on going here but we stayed very close by and am so glad we spent the time finding out about the WW2 history of Singapore. Very well done tor - small groups and not claustrophobic at all!,50,,Feb 2019,20200310
126,"Literally, a Hidden Gem!","We’ve been coming to Singapore to visit family for six years and until recently had never heard of this Battle Box Tour of the underground bunkers where so much happened to affect the city and its future seventy years ago. I’m ashamed now to realise how little I knew about what happened in WWII in this part of the world. The tour was an eye-opener - informative, most interesting, and also very moving. I just wish it was better and more widely promoted for more people to know about it and visit.I’d read on T.A. that you couldn’t pre-book, but phoned the visitors’ centre in the morning and they reserved places for us on the 1.30pm tour; we paid when we got there. Glad we did, as the tour, which can only be about 20 people (as rooms in the bunkers are small), was fully booked.Our guide (or docent), Matt, led us through the rooms, set up as they would have been during the war. He explained how the war strategy and tactics were developed, how information was received and analysed, how communications worked (or didn’t), and what everyday life was like down in the bunker. We learnt the tragic events that unfolded, and watched short films, with footage I had certainly never seen before - final shots of the surrender of Singapore to the Japanese and gathering up of prisoners were very moving. Matt was a great guide, very knowledgeable, and answered all sorts of questions from us. We thought this 90 minute tour was very well organised, interestingly presented and fascinating. It really brought events to life.Practical tipsWe arrived quite early, thinking we would grab a cold drink and sandwich at one of the two places on the Fort Canning Park map we took to be cafes. Unfortunately these turned out to be the Fort Canning Hotel and the Lewin Terrace (both very plush upmarket restaurants! ). So, if you need to, grab lunch at a cafe outside the park. The visitors’ centre sells a few cold drinks and crisps. Nearest loos are in the Fort Canning Exchange House, about five minutes from the visitors’ centre.We also had a very pleasant walk afterwards round Fort Canning Park...really lovely place with loads of shade from all the trees and some good views down over modern Singapore. We ended up walking through the park to Clarke Quay (about ten minutes ) and catching a boat trip on the river to Marina Bay, and then having food at Lau Pa Sat hawker court, which all together made a great day trip out in Singapore.....reliving the past and looking at the future of this great city we love coming to!If you are visiting Singapore don’t miss this Battle Box tour. Highly recommended!",50,"Surrey, United Kingdom",Feb 2019,20200310
126,Guide Tour of the Battlebox,"This was an awesome tour, excellent guide & great learnings about the History of Strategy & Surrender of Singapore",50,"Melbourne, Australia",Feb 2019,20200310
126,Fort Canning Hill,"This park is full of wonderful things to see, including a spice garden and Battlebox; Don't miss the cannons which were used to defend the hill. This is where the decision was made for the surrender of Singapore; it's not a crowded park so take your time and enjoy.",50,"Seattle, Washington",Feb 2019,20200310
127,Well worth the visit,"We were lucky to sneak into a tour. This highlights the war experiences in Singapore. The Battlebox was the site of the British army before the surrender. Tours are guided and our guide had an extensive knowledge of the history and a great rapport with the visitors, including children in the group. My one criticism is taht the very first room contains a walls of written material which we had scant time to read let alone absorb. Some of what was there was given in the commentary but not all and I would like to have read especially the early history of the area. I believe there are plans to upgrade the museum so visitors can self-guide and that would overcome my problem.",50,"Brisbane, Australia",Feb 2019,20200310
127,Best tour in Singapore,"You don't need to be a history buff or war expert to enjoy this tour. Great informative, engaging and fascinating tour with a brilliant overview of the fall of Singapore to the Japanese. Something for all ages.",50,,Jan 2019,20200310
127,Fantastic!,"Came here on our last day in Singapore and it was fantastic! Our tour guide Dina (think that was her name) was an amazing guide and was super informative and friendly throughout. Such an amazing tour for such a small museum, would highly recommend when visiting Singapore! You can even go for a walk round Fort Canning Park before/after your tour.",50,"Greater Manchester, United Kingdom",Jan 2019,20200310
127,"Excellent tour and so historic, a must see","Visited here as was not aware of the historic significance of this place and events in WWII. Guide was excellent and tour groups are small. Bunker has 27 rooms and is very well kept and so clean. I have to recommend this place, and particular thanks to this who keep the place spotless, particularly Paul, whom I got talking to after the tour and was so polite and friendly and takes his job very seriously. Thanks guys.",50,Dublin,Jan 2019,20200310
127,Easy to miss,"The thing with the Battlebox is that unless you already knew about it, you can easily miss it and that would be a huge loss because it is so informative. You will be surprised by how much the kids will take in from this really informative tour",50,"Dubbo, Australia",Jan 2019,20200310
128,A hidden gem,Unless you aware of this venue in Singapore you will miss it. The guide was well knowledgeable and easy on the ear. It’s a must to visit and learn all about the surrender of Singapore to the Japanese in World War 2. We’ll worth a visit,50,,Jan 2019,20200310
128,Walk with History,Singapore is not just about shopping and eating It is also about betrayal and surrender in the WW2 Fall of Singapore Relive the events with an excellent guide in the place it actually happened The Battle Box deserves to be top of any visitor's list,50,,Jan 2019,20200310
128,A must see for Military Enthusiasts,"Arrive early if you can, this experience is quite busy. There is lots to see in the Fort Canning Park if you arrive before opening time. The tour of the facility is outstanding with lots of information and amazing displays with authentic looking models depicted what it would have been like in 1942 when the surrender to Japan occurred. You are not allowed to take photos within the bunker which was disappointing but it gave me more time to truly take in the experience.",50,,Jan 2019,20200310
128,Surprisingly good,"This was my husband's choice of activity but surprisingly the whole family enjoyed it. It was a great opportunity for the kids to learn a bit of history about the war in the Pacific. The docent (Joanne) was excellent - very knowledgeable and had a very good manner. My only criticism is that I would have liked a bit more time to really read through all of the displays. Overall an excellent way to spend an hour and a half. Be sure to book though as the tour size is small and it books up quickly. You cant enter the Battlebox unless you are on a tour, but prices are very reasonable.",50,"Adelaide, Australia",Jan 2019,20200310
128,Battlebox Tour Singapore,A really well planned tour! Informative and enjoyable. Well worth the visit but be sure to book it ahead as it sells out quickly.,50,"Brisbane, Australia",Jan 2019,20200310
129,Excellent attraction,Very informative & entertaining guide. Lifelike people & situations which gave you an interesting insight to how life was in those days leading up to the downfall of Singapore.,50,"Mount Kuring-Gai, Australia",Jan 2019,20200310
129,Best thing to do in Singapore!,"Extremely well run and organised tour through the actual bunkers with wax figures, video documentary clips and a historian to walk you through the final weeks before the fall of Singapore and the end of the British empire. Great for history buffs and people who want to understand what Singapore and the allied forces went through on the Pacific side of the war. I’ve done this tour at least 3 or 4 times and have brought many overseas friends and family to do it as it’s fabulous. They love it every single time. One comment though, children under 12 shouldn’t be allowed as they can be very distracting and disruptive. The walls of the bunkers are very echoey and any movement or noise really affects the quality of the experience. For visitors, I would advice to avoid groups with children if you have a choice as it could ruin your experience.",50,,Jan 2019,20200310
129,Fascinating view on part of Singapore's history,"This visit is a must if you're interested in learning about the events leading up to the fall of Singapore in 1942. Through audio visual aids along with other artefacts coupled with a tour guide during your visit, this important part of the islands history is vividly told. The building itself is an essential part and is used very effectively during the visit. Cannot recommend it highly enough.",50,Suffolk,Jan 2019,20200310
129,Very Interesting Tour,This was a most interesting tour. Having a keen interest in WWII my wife and I decided to do this tour while in SIngapore. I knew very little about the history of WWII in Singapore and the battle and subsequent fall of Singapore. This was very interesting to understand what the Singapore people went through as they were conquered by the Japanese following the bombing of Pearl Harbor which opened the door for the Japanese to move on Singapore. The underground tunnel and the communication system used by the allies was toured and our guide gave a detailed account of the workings and eventually the very difficult decision to surrender. Being a British colony at the time the final decision to surrender was made by British LT General Perciful. He had to accept the terms of surrender put forth by the Japanese. At the end of the war McArthur invited Perciful aboard the USS Missouri to witness the surrender of Japan.,50,"Mansfield, GA",Jan 2019,20200310
129,Absolutely blown away,I have to admit I only went to this as my husband was so desperate to go. I am so glad that I did! It was really interesting and very emotional. Our guide Shah was awesome. His ability to tell the story made me feel like I was really there. Such a great guy. I would thoroughly recommend this to all.,50,"Sidmouth, United Kingdom",Jan 2019,20200310
130,Great bit of History,"This is a great tour. We went with children 13,11,10,8 & 7. Everyone walked away learning so much from this tour. The tour guide is very knowledgeable, and was clear and concise. I would highly recommend anyone to do this tour.",50,,Jan 2019,20200310
130,With the visit,"Fascinating place, learned so much from the very well informed guide. Make sure you book in advance as it’s a very popular destination.",50,,Jan 2019,20200310
130,Great snapshot into history,"Very well run guided tour, video presentations and recreations of scenes using life size mannequins. Particularly enlightening to visitors from those countries involved. This is a great site to visit in a city state that has many great sites to visit. Fort Canning is also the site where Sir Stamford Raffles built his residence (now demolished) and later a military fort with remains amongst the tropical garden.",50,"Sydney, Australia",Jan 2019,20200310
130,Unexpected Gem,"Very interesting tour. Guide was fantastic and did not rush. She answered all questions and kept it interesting. Explains all about the fall of Singapore but starts with history of SIngapore and how the country evolved. My 11 year old son was captivated. Fascinating to see the underground rooms and feel part of the history. Nice and cool because you are underground.Only complaint, they don't promote themselves enough.",50,,Jan 2019,20200310
130,Informative and educational,This is the location of allied surrender of Singapore to the Japanese forces during WWII a must see for history buffs.The informative guided tour is part of the admission.,40,,Jan 2019,20200310
131,Great Educational Tour,Well organized and facilitated. The docent was knowledgeable about the topic and was interesting to listen to. Our children learned a lot about the history of Singapore from the experience.,50,"San Antonio, Texas",Jan 2019,20200310
131,An excellent attraction,Extremely realistic rooms set out as they were at the surrender of Singapore. Our guide was knowledgeable and informative. Well worth a visit.,50,Perth,Jan 2019,20200310
131,Great tour,"The tour was great and the guide provided a very informative experience, however I had my mobile phone pick pocketed whilst on the tour and the staff were reluctant to call the police. I had to walk to the nearby hotel to call them and report it. That aside, I would recommend going, but keep your hands on your pockets all the time!",30,"Sydney, Australia",Jan 2019,20200310
131,Historic Tour,A very well run and informative tour. Not to be missed. Our escort for the tour was very knowledgeable. Well worth a visit.,50,"March, United Kingdom",Jan 2019,20200310
131,Great!,My second visit but much better now that I have a greater appreciation and understanding of the history. Well worth a visit,50,"Greater Melbourne, Australia",Jan 2019,20200310
132,Worth the Entry Fee,This was an incredible experience. Make sure you book a tour as most of them were sold out the day I visited. Allow 1 1/2 hours for the short tour. The guides are extrememly knowledgeable and you will get to experience life in the underground bunker.,50,"Brisbane, Australia",Jan 2019,20200310
132,"Very informative and interesting visit, don't miss if you like to learn about WW2","A part of WW2 history I knew little about before coming, this tour was really interesting. It explains the historical and strategic history of Singapore and then quickly moves to the 1930s and WW2 preparation. Fully explains the background as to why the British and Japanese were so differently prepared and how the Japanese overran Malays so quickly.The role of the personalities is explained, including the conflicts and there is some original footage of the final days o=f the conflict including the eventual surrenderI think know know how the expression 'Gordon Bennnet' came into my life as a youngster in the 1960s!Well worth it, make sure you get there early as the tour parties are small.",50,"Aylesbury, United Kingdom",Jan 2019,20200310
132,Worth a visit,"Found the Battlebox tour very interesting! Our guide took us through this site explaining the history of its use and showing us some relevant short films to supplement her talk. Nice little gift shop at the visitors’ centre. Definitely a must see, especially for those with an interest in military history. You can also explore the surrounding park which is incredible in itself. Go have a look at where Percival made his shameful decision to surrender.",50,"Sydney, Australia",Jan 2019,20200310
132,Must see for WWII Buffs,"I enjoyed every minute of this interesting and inspirational tour. The tour guide was professional and knowledgeable, and articulate. Well worthwhile in every respect.",50,,Jan 2019,20200310
132,Brought history to life,"As this tour can't be booked we arrived early for the first tour and turned out it was a much smaller group than the 11am tour which looked huge. A very serious knowledgeable young man took the tour- he moved us through the rooms in the bunker efficiently and really knew his history. There were a couple of videos to watch, poster information and photos as well as models re-enacting important moments and people. It is air conditioned and cool but the original working conditions particularly when it was under siege must have been horrible. We didn't get enough time to read through all the information which was a little disappointing but overall a very interesting experience which brought history to life and still leaves us wondering if the decision to surrender was the right one.",40,"Greater Sydney, Australia",Jan 2019,20200310
133,Really worth it,A great overview of the fall of Singapore with a wonderfully clear and organised guide Joanne. This was our fallback as Changi Museum and Chapel closed and we would certainly recommend it. The only drawback is that it can't be pre-booked and tours fill quickly so have another activity to do if you have to wait. The walks around Fort Canning Hill are interesting and the museum is close by.,50,ACT,Jan 2019,20200310
133,Excellent overview,"A very well organised tour of this command bunker that was central to the WW2 history of Singapore and Malaysia.Guided tour takes about 75mins with a good mixture of displays, video and informative description from the knowledgeable guideCheck the website for tour times",50,"Warwickshire, United Kingdom",Jan 2019,20200310
133,Very interesting. Well run tour,I enjoyed this interesting well run tour. They take you through the bunker and explain the WWII period very well. Good for people who are interested in the history. I took my kids and it seemed to hold their attention. A good thing to do in Singapore if you don't like shopping while the rest of your party are in the shops!,50,,Jan 2019,20200310
133,Informative tour of one of Britain's darker days,Tour and talk by a well informed young man.Much of the original equipment still in place and the remainder of added items authentic.Well worth the visit.,40,"Greater London, United Kingdom",Jan 2019,20200310
133,Lovely historical green area in Singapore,"I enjoyed taking the kids here. It's a lovely green area with plenty of shade and ideal for a picnic. The steep hill wore the kids out :-) Unfortunately, the tunnels were not open when we visited and we didn't get time to come back.",40,"Hervey Bay, Australia",Jan 2019,20200310
134,Interesting way to spend 90 mins,Booked through tripadvisor and it worked very well - very reasonable price and the tour guide was very knowledgable.The museum is excellent and gives you a good feel of the events and the military disaster.Recommended.,50,"Stone, United Kingdom",Jan 2019,20200310
134,Informative and interesting,Loved this visit. We learnt a lot and every member of the family enjoyed it. Book ahead - we didn’t realise and had to come back later. But definitely learn more about the horror of WWII in Singapore.,50,,Jan 2019,20200310
134,Singapore History Lesson,"Several tours are scheduled daily, and they can be booked ahead of time. We walked in and were able to join a small group just starting a tour. Our guide knew the history and took us through the most difficult history of Singapore in World War II. Films, pictures, stories, and recreated scenes made this awful event come alive. After the tour of the underground facility, you can walk the beautiful grounds.",50,"Portland, Oregon",Jan 2019,20200310
134,Great historical experience,Great tour with very knowledgeable guide. Well worth doing and also walking the grounds of Fort Canning.,50,"Sydney, Australia",Jan 2019,20200310
134,"Very good, a must visit,needs some tweaks.","This is the second time I have visited the Battlebox, the last time being ~15 years. This is still a great place to visit and well worth the effort.The format is now a guided tour, it used to be self guided audio tour. The tour is very good, the guide is excellent and knows the subject matter well.The tour could be improved by adding sound to the rooms. Everything feels very sterile and adding some background sounds would bring the place to life.",40,"Mount Samson, Australia",Jan 2019,20200310
135,Hidden Treasure,We stumbled across this after we disembarked from the river cruise. We were just wandering around checking out the sights when we came across Fort Canning Park. We decided to go for a walk around and discovered the battlebox. We booked a tour and it was very informative. The tour guide knew exactly what she was talking about and the 1.5hrs went very quickly. Well worth the time,50,"Beresfield, Australia",Jan 2019,20200310
135,Must do in Singapore,"Visited today with my 12 year old son. Battlebox was very easy to get to via MRT and then following their online instructions. Get here 30mins before the time slot you want to to ensure you get tickets. $20 per adult, $10 per child. It is air conditioned so that is a bonus in Singapore’s humidity. Joanne did our tour today. She spoke clearly with good English and was very friendly and good with the kids. This tour gives a good insight into the taking of Singapore by the Japanese in WWll. The worst defeat for the British in WWll. Now why is clear. The bunker is interesting to see through as it was the central command post for Singapore during WWll. Good for all visitors to understand part of Singapore’s history. Shame Changi Museum is closed. Next visit!!",50,"Sydney, Australia",Jan 2019,20200310
135,A Must Do Experience,"We visited the Battlebox at Fort Canning with a group of 4 of us.First things first, book the tour early as you can, as only about 15 or so people can be on the tour at one time.What an experience !We learnt so much down in the underground rooms of the battlebox.With our tour guide telling us the story of the area and history of the surrounds.There are short videos played in some of the rooms of the fall of Singapore to the Japanese army in WW2.This underground bunker with about 27 rooms was facinating and beyond believe 300 plus men living down there with the attacking Japanese army on the door step.The building presentation and tour guide was excellent.The underground bunker is air conditioned which makes the 1hour 15 mins tour very enjoyable even on a hot day.Two words for this tour - Totally Amazing.",50,"Ipswich, Australia",Jan 2019,20200310
135,Well worth visit,Visited on 3rd Jan our guide was Mathew on the 11am tour. He was very knowledgeable incredible amount of information given. Well worth visit. Must get here early to secure tickets otherwise you miss out. We were just lucky and managed to secure a spot 40 mins before start. Well worth walking around site afterwards and check out the gardens.Easy to find from MRT.Definitely worth the visit.,50,"Melbourne, Australia",Jan 2019,20200310
135,A sobering experience,"This was the second time I have visited the Battle Box, the first some years ago. Much has been done to improve the experience and it is now a very well constructed and informative attraction.. The lady guide was knowledgeable and presented the facts it a very clear way bringing those terrible final days to life. Not Britains finest hour but an important period in Singapores history that needs to be documented. All in all a very informative and worthwhile visit. Highly recommended.",50,"Amlwch, United Kingdom",Jan 2019,20200310
136,Great tour!,This was one of my favourite museums in Singapore and definitely worth a visit. The worst defeat in the long history of the British empire smoothly detailed in a 1 hour tour.,40,"Singapore, Singapore",Jan 2019,20200310
136,an informative tour,We were told about this facility by friends in Singapore and was well worth the visit to get an understanding of conditions during the Japanese invasion.A short walk to Fort Canning park but I would advise people to arrive early for the tour as places are limited and they fill up quickly.The guide was extremely informative and this is a place you should not miss,50,"Canberra, Australia",Dec 2018,20200310
136,Good 2 Go,Thoroughly enjoyed the tour very infirmative and knowledgeable guide. Very interesting recount of the period of the Jaoenses invasion and ultimate surrender,40,"Sydney, Australia",Dec 2018,20200310
136,Interesting History,We spent a couple of hours here and our guide “Matthew” was extremely knowledgeable. Lots of interesting history of the surrender to the Japanese.,50,"Tanunda, Australia",Dec 2018,20200310
136,wonderful,"By the time we cherished the peace-time at this moment,it recalls our dark memory those brutes does committed.Explicitly Illustrated how a Japanese general (Yamashita tomoyuki) take control of Singapore piece-by-piece:Military contrast,the marching route(defeat UK&Australians navy and air-forces just within a short period)and use the psywar to defeat Singapore`s land-forces ultimately.If only it could also depict the genocide(like SG Changi`s massacre ) later-on......it is a pity that we tourists does not allowed to take photos here.",50,,Dec 2018,20200310
137,Singapore Must Do,The Battle Box tour at Fort Canning Park is a must do. Tour guide was excellent in WW2 Japanese Invasion history. The underground British War Facility has been well restored and maintained to be enjoyed long into the future. I always knew there had to be military facilities underground in this park. Just took me 17 years to get back to see them.,50,,Dec 2018,20200310
137,Educational Tour,It was a great educational tour. It was exciting to see the actual artifacts. Very interesting history lesson given by the tour guide.,50,"Singapore, Singapore",Dec 2018,20200310
137,Underground military museum,"Located in Fort Canning Park is a very important military headquarters from World War Two known as the Battlebox, we are both very interested in military history and what better place to escape from the heat and humidity of the midday sun in Singapore. Access to the Battlebox is by guided tour only, it is important to arrive at least fifteen minutes prior to the tour commencing to secure a place on the limited number of visitors allowed. Tickets are purchased in the small and charming visitors centre which also sells souvenirs, /military/historical books, cold drinks and a few snacks. From the visitors centre we walked a short distance to the entrance of the Battlebox with Joanne, our guide for the next 1.5 hours. Joanne was fabulous, very knowledgable and good at keeping the children in our tour group interested. During our visit we viewed several short films and had small blocks of free time to view the artefacts, newspaper clippings, photographs and displays. Please note that no photography is allowed in the bunker. To our surprise while we were underground (9 metres) a storm had passed over and cooled things down briefly.",50,"Brisbane, Australia",Dec 2018,20200310
137,"Battlebox at Fort Canning, Singapore","A very worthwhile visit. I got to understand the conditions General Percival, his fellow leaders and the staff were working in in the days leading up to the surrender to Japan in 1942.",40,,Dec 2018,20200310
137,"Battlebox, Singapore","Historically important, wonderfully preserved and with extremely knowledgeable guides this is a must on your ‘to do’ list.",50,,Dec 2018,20200310
138,Well Worth a Visit,"My husband is interested in World War history so after finding the Battlebox on Google we decided to have a look, we were very glad we did! It was very easy to find, directions on their website were excellent. We arrived 50mins early for the tour so decided to have a coffee at the Fort Canning Hotel, which is absolutely beautiful, also worth a look! Our tour was hosted by Joanne, she was excellent, very informative, very passionate about her county’s history, made sure everyone had understood what she was telling us and answered all our groups questions. Our group was at capacity, but by no means did it feel too crowded. We would thoroughly recommend this tour and a walk through the beautiful gardens surrounding this site.",50,,Dec 2018,20200310
138,Informative and interesting,Well worth a visit if you are interested in the story of WW2 in Singapore and Asia. I really enjoyed it,50,"Sydney, Australia",Dec 2018,20200310
138,Battlebox Tour,Was a highly informative tour of the battlebox. Joanne was an exceptional guide with great knowledge. Would recommend this if you are interested in knowing more about the invasion and surrender. Oh it is also air conditioned!,50,,Dec 2018,20200310
138,Immersive experience on WWII history,Excellent view of the surrender of Singapore during WW2 by reliving the invasion by the Japanese. Spending time in the bunker is a unique experience,50,"Chardon, Ohio",Dec 2018,20200310
138,Brilliant guide and fascinating history lesson,Really interesting tour of the Battlebox.Our guide was informative and clear and got over the history of the British surrender so well. It's well worth a visit.Was disappointed that you couldn't take photos though.,50,"Harlow, United Kingdom",Dec 2018,20200310
139,Sobering experience,"The Battlebox is the underground bunker where 12 British military men met and decided that Singapore should be surrendered to the Japanese during World War 2. A fascinating facility, with entry by guided tour only, lifelike figures of the men and clips of old films help give an appreciation of why the decision was made to surrender in the teeth of Churchill's edict to fight to the end.",50,"Dunedin, New Zealand",Dec 2018,20200310
139,"Gripping, informative and brilliantly set out","We visited Battlebox as a family and there was something for everyone. Our guide was the terrific Chin Han, who was knowledgeable and spoke clearly and loud enough for all to hear. The exhibits are well signed and the models are very evocative.",50,"Canberra, Australia",Dec 2018,20200310
139,Fascinating Piece of History,We undertook this tour as part of the extended Original Singapore Walks tour that also included the Fort Canning area. The tour inside the Battlebox was quite moving as we learnt of the events leading up to the fall of Singapore. Well done to Wina for making this come alive for us.,50,"Marion, Australia",Dec 2018,20200310
139,Very Interesting Tour,Great tour offering good insights into Allied Forces and Singapore’s role in WW-II. Although I had worked and lived in Singapore for a number of years I had never visited this site until yesterday when visitors asked to go. We were all very impressed with the quality of the tour and the docent’s knowledge and engagement style. Tickets are sold at the visitor center and the overall program is very well organized. We did the specific 1-1/2 hour Battlebox tour which offered a good mix of touring of the facility plus historical information delivered via short movies and lecture. This is a very good program which should be of interest to visitors of most ages. Visitors may wish to weave the Battlebox tour into a longer overall day at Fort Canning or just do a one-off visit of the site which is well worth the time.,50,"Katy, Texas",Dec 2018,20200310
139,Good job,I love military history and especially British history. The guide was very knowledgable and enthusiastic about Battlebox which was good to see. Good job. Worth the money,50,"Australian Capital Territory, Australia",Dec 2018,20200310
140,Another on the list of Singapore's must sees!,"This is an excellent place to visit and learn the history of the Allies in Singapore during WWII. Will help you understand the appalling conditions the army had to endure before surrender to the Japanese. Very enlightening. Take the walk through Fort Canning Park under the shade of trees, uphill and a number of steps.",50,"Brisbane, Australia",Dec 2018,20200310
140,Great little insight,"Intriguing insight into Singapore and it's War time history. Yeah, Ok - I'm a war history buff but also I understand geo-politics. It's a little bit formulated, but I really enjoyed it. Go see, if you have time. Rewarding, especially if you have mind that needs to understand the war and all of it's effects....",40,"Singapore, Singapore",Dec 2018,20200310
140,Educational and interesting,A little out of the way compared to other attractions but only a 10-15 minute walk from the closest MRT...If its raining use a taxi to get here...worth the trip,50,"Melbourne, Australia",Dec 2018,20200310
140,Late addition but a real treat,"We only heard about this location when we were in Cambodia on a cruise (just days before our arrival in Singapore), and it certainly was a lovely addition to understanding more about the history of the island. My husband had previously visited Singapore and never heard of the Battlebox, so we were so happy to get into a tour. Our guide was incredibly knowledgeable and helpful. I will be recommending this to friends and family going to Singapore. The entire Ft. Canning area is really spectacular.",50,,Dec 2018,20200310
140,"Really interesting, well worth a visit",This tour was very well run. There has obviously been a lot of work put into restoring this complex. Our guide knew his subject matter and delivered it very well. It would be of most interest to those with an interest in WWII history and or a connection to the events of the time. It is well worth a visit.,50,"Brisbane, Australia",Dec 2018,20200310
141,An interesting visit,This was my first visit to a WW2 eastern front site. Interesting and quite surprising in regard of how easy was for the Japan Army to conquer Singapore.,40,,Dec 2018,20200310
141,Brilliant Battlebox tour,We had a small group tour of the Battlebox - the WWII British commanders' bunker at Fort Canning - in November 2018. Our guide was extremely knowledgeable and brought back vividly to life the dire situation that General Percival and his senior officers faced as Japanese General Yamashita tightened his grip on Singapore and forced their unconditional surrender.,50,,Dec 2018,20200310
141,Battle Box tour,This was an excellent attraction. Very interesting historical story and very well told by out tour guide.,50,,Dec 2018,20200310
141,A must do tour while in Singapore,If you’re interested in history a visit to the Battlebox should be on your list. The guide was excellent sharing information on Singapore and it’s story during WW2.,50,,Dec 2018,20200310
141,Interesting and informative tour.,Our guide really made the tour very interesting and we learnt a lot. The area was air conditioned so atmosphere was conducive to listening and getting involved. My daughters went with me and they also found it very good.,50,,Dec 2018,20200310
142,A Highlight of my visit to Singapore,"A great way to learn more about World War II, some of the military leaders of the time, the tactics used and the living conditions of the headquarter's troops during that time. The tour guide was extremely knowledgeable. The tour was a good mix of narrative by the guide, videos, and displays. Definitely worth a visit, especially for those interested in military history.",50,,Dec 2018,20200310
142,A tour not to be missed!,"This historic site is amazing. I don’t know why we haven’t heard more from travel agents about it. The staff were very knowledgeable, professional and helpful people. I will be recommending the tour to our friends and travel agent.",50,,Dec 2018,20200310
142,Insightful and Moving,"Our very knowledgeable and personable guide gave a brilliant ""history Lesson"" while leading us through the underground bunker where the decision to surrender was made. Whilst being in the bunker and hearing about the events and harsh reality the allied forces faced in Singapore, with limited and poorly maintained equipment, and no possible backup arriving; you could understand why the decision was made. A very moving experience. This was definitely a high light of our visit to Singapore and I would highly recommend this guided tour.",50,"Healesville, Australia",Dec 2018,20200310
142,Great experience,Fantastic experience. Everyone coming to singapore should learn about its past. So glad I did this as it was super interesting. The guide was fantastic,50,,Dec 2018,20200310
142,Modern Singapore history,Love ww2 history at the best of times and thoroughly enjoyed being journeyed through this notable Singaporean ww2 landmark. Well worth the time and great value for money.,50,"West Pennant Hills, Australia",Dec 2018,20200310
143,Very informative tour.,Interesting history of the world war 2 bunker at Fort Canning. The guide was excellent and the exhibits displayed nicely.,50,"Singapore, Singapore",Dec 2018,20200310
143,Excellent museum. Top notch docent guides.,Cool museum. The highlight was definitely the guides. Extremely well trained and shared knowledge in a way that kept your attention the whole time. The setting in an actual war bunker and the cool unknown of (as an american) facets of world war 2 and the involvement of singapore in the pacific theater was illuminating.,50,"Singapore, Singapore",Dec 2018,20200310
143,Brings history back to life,My wife and I had an excellent morning at the battlebox. A hidden gem in Singapore that reflects a fundamental period of their history.Esther conducted our tour at 0945 hours. She was very informative and friendly intelligently explaining to us this turbulent and sad period of history.The rooms were bought to life by the figures which accurately represented the key players of the allied command in 1942. We left there feeling much better informed and somewhat sad about this period of history .Esther conducted the small group in a very efficient and effective manner.She is a credit to the Battlebox.We would highly recommend anyone who has a sense of history to visit the Battlebox when in Singapore.,50,,Dec 2018,20200310
